Date,open,high,low,Adjusted_Close,volume
2024-05-10 00:00:00+00:00,16725.0,16847.0,16687.5,16754.0,469407
2024-05-13 00:00:00+00:00,16737.0,16835.25,16727.75,16794.5,405279
2024-05-14 00:00:00+00:00,16781.0,16932.0,16664.5,16914.0,548471
2024-05-15 00:00:00+00:00,16908.75,17206.0,16892.0,17190.75,596207
2024-05-16 00:00:00+00:00,17192.25,17259.75,17132.25,17149.0,542065
2024-05-17 00:00:00+00:00,17141.0,17185.75,17044.0,17134.25,482282
2024-05-20 00:00:00+00:00,17132.5,17293.5,17132.0,17262.0,465347
2024-05-21 00:00:00+00:00,17245.0,17307.75,17177.0,17298.25,421571
2024-05-22 00:00:00+00:00,17297.25,17390.0,17183.25,17285.75,570288
2024-05-23 00:00:00+00:00,17359.5,17522.25,17120.5,17195.25,843252
2024-05-24 00:00:00+00:00,17183.0,17425.0,17179.0,17375.0,538134
2024-05-27 00:00:00+00:00,17373.75,17455.0,17332.5,17375.0,72790
2024-05-28 00:00:00+00:00,17449.5,17479.5,17318.5,17439.5,562188
2024-05-29 00:00:00+00:00,17448.5,17448.75,17239.0,17301.75,566765
2024-05-30 00:00:00+00:00,17252.0,17286.0,17045.25,17105.5,611110
2024-05-31 00:00:00+00:00,17089.75,17167.25,16740.25,17090.0,817453
2024-06-03 00:00:00+00:00,17089.25,17254.5,16934.75,17145.25,660094
2024-06-04 00:00:00+00:00,17161.5,17252.25,17010.25,17200.0,608672
2024-06-05 00:00:00+00:00,17210.0,17589.5,17195.25,17573.25,564415
2024-06-06 00:00:00+00:00,17588.5,17623.5,17516.25,17559.25,514699
2024-06-07 00:00:00+00:00,17563.0,17654.0,17439.0,17536.75,603173
2024-06-10 00:00:00+00:00,18018.25,18118.0,17972.75,18102.25,3188
2024-06-11 00:00:00+00:00,18095.5,18250.0,17988.0,18236.25,5658
2024-06-12 00:00:00+00:00,18236.5,18611.25,18228.5,18496.0,15331
2024-06-13 00:00:00+00:00,18597.0,18689.75,18500.25,18603.5,68820
2024-06-14 00:00:00+00:00,18603.25,18698.75,18503.25,18685.25,178533
2024-06-17 00:00:00+00:00,18694.5,19011.0,18643.75,18932.5,504018
2024-06-18 00:00:00+00:00,18932.75,19010.25,18866.75,18936.0,489241
2024-06-19 00:00:00+00:00,18944.25,18992.25,18936.0,18936.0,66883
2024-06-20 00:00:00+00:00,18971.75,19110.75,18698.0,18771.25,784259
2024-06-21 00:00:00+00:00,18783.0,18825.75,18654.0,18722.5,573754
2024-06-24 00:00:00+00:00,18754.5,18770.0,18467.75,18490.5,676449
2024-06-25 00:00:00+00:00,18495.75,18721.0,18465.75,18712.0,566404
2024-06-26 00:00:00+00:00,18712.75,18810.25,18640.75,18752.25,584733
2024-06-27 00:00:00+00:00,18685.75,18856.5,18614.0,18779.25,579644
2024-06-28 00:00:00+00:00,18803.0,19013.0,18646.0,18667.0,737662
2024-07-01 00:00:00+00:00,18709.75,18813.75,18551.5,18791.75,631947
2024-07-02 00:00:00+00:00,18785.5,18999.0,18649.75,18995.0,607545
2024-07-03 00:00:00+00:00,18980.75,19175.0,18944.75,19151.25,389641
2024-07-04 00:00:00+00:00,19159.0,19160.25,19109.5,19151.25,52694
2024-07-05 00:00:00+00:00,19121.0,19379.25,19100.75,19360.5,539056
2024-07-08 00:00:00+00:00,19331.25,19427.75,19319.0,19399.5,490382
